Id,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_CompanyCode,Values_EnerSource,Values_OperStartdate,Values_State,Date
Sistema,3EGI,AGPE ADIELA PALMA DE CADAVID,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2022-06-16,OPERACION,2022-07-30
Sistema,3EGK,AGPE CLINICA CLINALTEC,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2022-06-16,OPERACION,2022-07-30
Sistema,3EGO,AGPE INVESA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2022-06-16,OPERACION,2022-07-30
Sistema,3EGQ,AGPE NACIONAL AVICOLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2022-06-16,OPERACION,2022-07-30
Sistema,3EGS,AGPE SURTIPLAZA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2022-06-16,OPERACION,2022-07-30
Sistema,3EGW,AGPE EL REFLEJO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2022-06-16,OPERACION,2022-07-30
Sistema,3EJI,AGPE CALARCA 2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2022-07-01,OPERACION,2022-07-30
Sistema,3EJK,AGPE CALARCA 1,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2022-07-01,OPERACION,2022-07-30
Sistema,3EJM,AGPE RETYPACK SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2022-07-01,OPERACION,2022-07-30
Sistema,3EJO,AGPE SANTIAGO CASTAÑO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2022-06-30,OPERACION,2022-07-30
Sistema,3EL3,AGPE LABORATORIOS EDO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,DCLC,RAD SOLAR,2022-07-07,OPERACION,2022-07-30
Sistema,3EL5,AGPE HUGO RESTREPO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2022-07-07,OPERACION,2022-07-30
Sistema,3EL7,AGPE RED WM IMPRESORES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,DCLC,RAD SOLAR,2022-07-07,OPERACION,2022-07-30
